metric,game,map_id,run_index,true_creator,forced_human,forced_ai,delta_ai_minus_human,forced_human_std,forced_ai_std,mean_condition_std,plot_forced_human,plot_forced_ai,plot_delta_ai_minus_human
surprising,mario,x3V9NLQt,,Human,1.0,1.05,0.050000000000000044,0.0,0.218,0.109,1.0,1.05,0.050000000000000044
surprising,mario,xYnV8Xi7,,AI,1.75,1.55,-0.19999999999999996,0.829,0.921,0.875,1.75,1.55,-0.19999999999999996
surprising,mario,yAXhWaGh,,Human,2.4,2.3,-0.10000000000000009,1.068,0.843,0.9555,2.4,2.3,-0.10000000000000009
surprising,sokoban,2v2qgbvC,,Human,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
surprising,sokoban,3xtQxBWH,,Human,1.75,1.15,-0.6000000000000001,0.698,0.357,0.5275,1.75,1.15,-0.6000000000000001
surprising,sokoban,5Au4nrI2,,Human,1.1,1.05,-0.050000000000000044,0.3,0.218,0.259,1.1,1.05,-0.050000000000000044
surprising,sokoban,5iXJGqnK,,AI,1.4,1.25,-0.1499999999999999,0.49,0.433,0.4615,1.4,1.25,-0.1499999999999999
surprising,sokoban,73sJaNBn,,Human,1.35,1.05,-0.30000000000000004,0.91,0.218,0.5640000000000001,1.35,1.05,-0.30000000000000004
surprising,sokoban,79DSy6TF,,AI,1.15,1.05,-0.09999999999999987,0.477,0.218,0.3475,1.15,1.05,-0.09999999999999987
surprising,sokoban,7V2mu5KA,,Human,1.45,1.05,-0.3999999999999999,0.497,0.218,0.3575,1.45,1.05,-0.3999999999999999
surprising,sokoban,8Ua6YU1D,,Human,1.4,1.05,-0.34999999999999987,0.917,0.218,0.5675,1.4,1.05,-0.34999999999999987
surprising,sokoban,H77pn4iQ,,AI,1.75,1.4,-0.3500000000000001,0.536,0.583,0.5595,1.75,1.4,-0.3500000000000001
surprising,sokoban,HjLVlKx4,,Human,1.15,1.0,-0.1499999999999999,0.357,0.0,0.1785,1.15,1.0,-0.1499999999999999
surprising,sokoban,Iz5BqRyu,,AI,1.45,1.1,-0.34999999999999987,0.589,0.3,0.4445,1.45,1.1,-0.34999999999999987
surprising,sokoban,LUiVjpMm,,AI,1.55,1.0,-0.55,1.322,0.0,0.661,1.55,1.0,-0.55
surprising,sokoban,QUT4qGl2,,Human,1.5,1.3,-0.19999999999999996,0.5,0.557,0.5285,1.5,1.3,-0.19999999999999996
surprising,sokoban,QV6Qfb7T,,AI,1.6,1.2,-0.40000000000000013,0.735,0.51,0.6225,1.6,1.2,-0.40000000000000013
surprising,sokoban,ROciIZDL,,Human,1.2,1.3,0.10000000000000009,0.4,0.458,0.42900000000000005,1.2,1.3,0.10000000000000009
surprising,sokoban,TIXMBKaj,,Human,1.25,1.15,-0.10000000000000009,0.536,0.357,0.4465,1.25,1.15,-0.10000000000000009
surprising,sokoban,UTSKBMio,,AI,1.5,1.0,-0.5,0.592,0.0,0.296,1.5,1.0,-0.5
surprising,sokoban,UeeTjy5b,,AI,1.1,1.15,0.04999999999999982,0.436,0.654,0.545,1.1,1.15,0.04999999999999982
surprising,sokoban,Z0SxyjXq,,Human,1.25,1.3,0.050000000000000044,0.433,0.714,0.5735,1.25,1.3,0.050000000000000044
surprising,sokoban,aE7sjnta,,AI,1.25,1.05,-0.19999999999999996,0.622,0.218,0.42,1.25,1.05,-0.19999999999999996
surprising,sokoban,bhRr4CCv,,Human,1.6,1.35,-0.25,0.583,0.477,0.53,1.6,1.35,-0.25
surprising,sokoban,cHhvQJlr,,AI,1.1,1.1,0.0,0.3,0.3,0.3,1.1,1.1,0.0
surprising,sokoban,cTxMstwv,,AI,1.3,1.2,-0.10000000000000009,0.458,0.678,0.5680000000000001,1.3,1.2,-0.10000000000000009
surprising,sokoban,extLxWet,,AI,1.15,1.15,0.0,0.357,0.477,0.417,1.15,1.15,0.0
surprising,sokoban,f8sbFI0a,,Human,1.15,1.3,0.15000000000000013,0.357,0.557,0.457,1.15,1.3,0.15000000000000013
surprising,sokoban,iJNJxWfZ,,Human,1.55,1.25,-0.30000000000000004,0.497,0.536,0.5165,1.55,1.25,-0.30000000000000004
surprising,sokoban,ij6onaGt,,AI,1.3,1.2,-0.10000000000000009,0.714,0.4,0.5569999999999999,1.3,1.2,-0.10000000000000009
surprising,sokoban,oHSLE5UO,,AI,1.05,1.0,-0.050000000000000044,0.218,0.0,0.109,1.05,1.0,-0.050000000000000044
surprising,sokoban,t7mUz3Qe,,Human,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
surprising,sokoban,wSCVt298,,AI,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
design,mario,1AC82kGG,,Human,3.35,2.45,-0.8999999999999999,0.853,1.023,0.938,3.35,2.45,-0.8999999999999999
design,mario,4PFJlLdR,,AI,3.4,1.9,-1.5,1.2,0.889,1.0445,3.4,1.9,-1.5
design,mario,4bMZDbcE,,Human,1.7,1.5,-0.19999999999999996,0.64,0.742,0.6910000000000001,1.7,1.5,-0.19999999999999996
design,mario,8cgqvaZu,,AI,2.45,2.25,-0.20000000000000018,1.117,0.766,0.9415,2.45,2.25,-0.20000000000000018
design,mario,9Y6J8Rb8,,AI,1.15,1.8,0.6500000000000001,0.357,0.812,0.5845,1.15,1.8,0.6500000000000001
design,mario,Jvmo5e7c,,Human,2.95,2.35,-0.6000000000000001,0.973,0.963,0.968,2.95,2.35,-0.6000000000000001
design,mario,KKZ1dszi,,AI,1.8,1.75,-0.050000000000000044,0.98,0.698,0.839,1.8,1.75,-0.050000000000000044
design,mario,RtKfCoTJ,,Human,1.35,1.15,-0.20000000000000018,0.572,0.357,0.46449999999999997,1.35,1.15,-0.20000000000000018
design,mario,S7F69Idf,,AI,2.15,1.8,-0.34999999999999987,0.572,0.4,0.486,2.15,1.8,-0.34999999999999987
design,mario,U3v9pEvF,,AI,2.25,1.95,-0.30000000000000004,1.22,1.023,1.1215,2.25,1.95,-0.30000000000000004
design,mario,V5XEzcZd,,Human,1.75,2.3,0.5499999999999998,0.622,0.714,0.6679999999999999,1.75,2.3,0.5499999999999998
design,mario,XYTl4EzV,,Human,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
design,mario,Xd8WtCNl,,AI,2.6,2.4,-0.20000000000000018,1.02,0.97,0.995,2.6,2.4,-0.20000000000000018
design,mario,br59gvRp,,AI,1.1,1.0,-0.10000000000000009,0.3,0.0,0.15,1.1,1.0,-0.10000000000000009
design,mario,dwIZVZn4,,AI,1.7,1.45,-0.25,0.781,0.589,0.685,1.7,1.45,-0.25
design,mario,fc3fEIzT,,Human,1.4,1.2,-0.19999999999999996,0.49,0.4,0.445,1.4,1.2,-0.19999999999999996
design,mario,gZGPAuuB,,Human,2.55,2.25,-0.2999999999999998,0.74,0.536,0.638,2.55,2.25,-0.2999999999999998
design,mario,gngXYJwH,,AI,3.2,2.7,-0.5,0.927,0.781,0.8540000000000001,3.2,2.7,-0.5
design,mario,ktod92pA,,Human,1.35,1.05,-0.30000000000000004,0.654,0.218,0.436,1.35,1.05,-0.30000000000000004
design,mario,lY6ELCJ9,,Human,2.15,2.25,0.10000000000000009,0.792,0.829,0.8105,2.15,2.25,0.10000000000000009
design,mario,lgoBPkQB,,AI,2.35,1.8,-0.55,0.792,0.6,0.696,2.35,1.8,-0.55
design,mario,mmMjssLU,,AI,1.85,1.6,-0.25,0.726,0.583,0.6545,1.85,1.6,-0.25
design,mario,oGL3xUR2,,Human,1.3,1.15,-0.15000000000000013,0.557,0.357,0.457,1.3,1.15,-0.15000000000000013
design,mario,pY9KB33X,,Human,1.85,1.85,0.0,0.792,0.654,0.7230000000000001,1.85,1.85,0.0
design,mario,tMYRotFs,,Human,1.6,1.05,-0.55,0.735,0.218,0.4765,1.6,1.05,-0.55
design,mario,ueNqeTXa,,AI,1.25,1.3,0.050000000000000044,0.698,0.458,0.578,1.25,1.3,0.050000000000000044
design,mario,vHybWiYq,,AI,1.8,1.1,-0.7,0.98,0.3,0.64,1.8,1.1,-0.7
design,mario,x3V9NLQt,,Human,2.15,2.0,-0.1499999999999999,0.572,0.316,0.44399999999999995,2.15,2.0,-0.1499999999999999
design,mario,xYnV8Xi7,,AI,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
design,mario,yAXhWaGh,,Human,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
design,sokoban,2v2qgbvC,,Human,1.6,1.2,-0.40000000000000013,0.49,0.4,0.445,1.6,1.2,-0.40000000000000013
design,sokoban,3xtQxBWH,,Human,3.75,2.85,-0.8999999999999999,0.698,0.792,0.745,3.75,2.85,-0.8999999999999999
design,sokoban,5Au4nrI2,,Human,2.8,2.35,-0.44999999999999973,0.927,0.726,0.8265,2.8,2.35,-0.44999999999999973
design,sokoban,5iXJGqnK,,AI,3.45,2.8,-0.6500000000000004,0.805,0.872,0.8385,3.45,2.8,-0.6500000000000004
design,sokoban,73sJaNBn,,Human,2.85,2.0,-0.8500000000000001,0.963,0.632,0.7975,2.85,2.0,-0.8500000000000001
design,sokoban,79DSy6TF,,AI,1.3,1.45,0.1499999999999999,0.458,0.589,0.5235,1.3,1.45,0.1499999999999999
design,sokoban,7V2mu5KA,,Human,3.35,2.1,-1.25,0.853,0.831,0.842,3.35,2.1,-1.25
design,sokoban,8Ua6YU1D,,Human,2.1,1.35,-0.75,1.3,0.477,0.8885000000000001,2.1,1.35,-0.75
design,sokoban,H77pn4iQ,,AI,3.9,3.1,-0.7999999999999998,0.3,0.768,0.534,3.9,3.1,-0.7999999999999998
design,sokoban,HjLVlKx4,,Human,2.55,1.75,-0.7999999999999998,0.865,0.622,0.7435,2.55,1.75,-0.7999999999999998
design,sokoban,Iz5BqRyu,,AI,3.4,2.7,-0.6999999999999997,0.663,0.714,0.6885,3.4,2.7,-0.6999999999999997
design,sokoban,LUiVjpMm,,AI,2.0,1.45,-0.55,1.095,0.589,0.842,2.0,1.45,-0.55
design,sokoban,QUT4qGl2,,Human,3.6,2.95,-0.6499999999999999,0.583,0.74,0.6615,3.6,2.95,-0.6499999999999999
design,sokoban,QV6Qfb7T,,AI,3.6,2.75,-0.8500000000000001,0.8,0.622,0.7110000000000001,3.6,2.75,-0.8500000000000001
design,sokoban,ROciIZDL,,Human,3.3,2.9,-0.3999999999999999,1.005,0.889,0.947,3.3,2.9,-0.3999999999999999
design,sokoban,TIXMBKaj,,Human,3.05,2.7,-0.34999999999999964,0.74,0.714,0.727,3.05,2.7,-0.34999999999999964
design,sokoban,UTSKBMio,,AI,3.2,2.2,-1.0,0.812,0.4,0.6060000000000001,3.2,2.2,-1.0
design,sokoban,UeeTjy5b,,AI,1.7,1.3,-0.3999999999999999,0.714,0.714,0.714,1.7,1.3,-0.3999999999999999
design,sokoban,Z0SxyjXq,,Human,2.1,2.1,0.0,0.995,1.136,1.0655,2.1,2.1,0.0
design,sokoban,aE7sjnta,,AI,2.25,1.1,-1.15,1.043,0.3,0.6715,2.25,1.1,-1.15
design,sokoban,bhRr4CCv,,Human,3.45,3.15,-0.30000000000000027,1.071,0.792,0.9315,3.45,3.15,-0.30000000000000027
design,sokoban,cHhvQJlr,,AI,2.25,2.0,-0.25,0.622,0.837,0.7295,2.25,2.0,-0.25
design,sokoban,cTxMstwv,,AI,3.15,2.3,-0.8500000000000001,0.91,0.781,0.8455,3.15,2.3,-0.8500000000000001
design,sokoban,extLxWet,,AI,2.5,2.05,-0.4500000000000002,0.866,0.669,0.7675000000000001,2.5,2.05,-0.4500000000000002
design,sokoban,f8sbFI0a,,Human,3.2,2.65,-0.5500000000000003,0.927,0.654,0.7905,3.2,2.65,-0.5500000000000003
design,sokoban,iJNJxWfZ,,Human,3.45,2.95,-0.5,0.74,0.865,0.8025,3.45,2.95,-0.5
design,sokoban,ij6onaGt,,AI,3.25,2.6,-0.6499999999999999,0.942,0.8,0.871,3.25,2.6,-0.6499999999999999
design,sokoban,oHSLE5UO,,AI,1.65,1.2,-0.44999999999999996,0.654,0.4,0.527,1.65,1.2,-0.44999999999999996
design,sokoban,t7mUz3Qe,,Human,1.8,1.3,-0.5,0.51,0.458,0.484,1.8,1.3,-0.5
design,sokoban,wSCVt298,,AI,1.35,1.25,-0.10000000000000009,0.654,0.433,0.5435,1.35,1.25,-0.10000000000000009
